Examen No. 1 - Topicos Avanzados de Bases de Datos - UPB 202620
Andres Felipe Martinez - ID SIGAA 000549446 - PostgreSQL 18 (Azure)
Jose Miguel Jaramillo  - ID SIGAA 000210186 - MS SQL Server 2025 (Docker)
Etapa 5 - Funcion con CTE y Window Functions

Pregunta: Para cada almacen y cada clase de conservacion, cuales fueron sus
episodios de exposicion termica -rachas de lecturas consecutivas fuera de
rango-, cuanto duro cada racha, que tan lejos del limite llego, cuantas
unidades habia expuestas, como se acumula el tiempo de exposicion y cuales
son los episodios mas severos de cada almacen?

--- Los 10 episodios mas severos de la red para medicamentos congelados ---
            almacen             |    ciudad     | clase_conservacion | episodio |    fecha_inicio     |      fecha_fin      | lecturas | duracion_horas | ventana_exposicion_horas | desviacion_maxima_c | unidades_en_riesgo | horas_acumuladas | severidad_en_almacen 
--------------------------------+---------------+--------------------+----------+---------------------+---------------------+----------+----------------+--------------------------+---------------------+--------------------+------------------+----------------------
 CEDI Villavicencio 11          | Villavicencio | Congelado          |        1 | 2026-02-04 00:42:00 | 2026-08-03 17:16:00 |       41 |        4336.57 |                  4336.57 |               44.40 |              43633 |          4336.57 |                    1
 Unidad de Salud Pereira 3      | Pereira       | Congelado          |        1 | 2026-02-05 13:08:00 | 2026-08-03 21:25:00 |       46 |        4304.28 |                  4304.28 |               26.50 |              26028 |          4304.28 |                    1
 Planta Pereira 8               | Pereira       | Congelado          |        1 | 2026-02-04 01:54:00 | 2026-07-31 18:30:00 |       40 |        4264.60 |                  4264.60 |               24.10 |              23334 |          4264.60 |                    1
 Planta Bucaramanga 20          | Bucaramanga   | Congelado          |        1 | 2026-02-05 17:23:00 | 2026-07-31 18:09:00 |       36 |        4224.77 |                  4224.77 |               23.10 |              26287 |          4224.77 |                    1
 Planta Medellín 25             | Medellín      | Congelado          |        1 | 2026-02-08 15:05:00 | 2026-08-03 14:13:00 |       52 |        4223.13 |                  4223.13 |               28.80 |              37088 |          4223.13 |                    1
 Planta Cúcuta 22               | Cúcuta        | Congelado          |        1 | 2026-02-08 00:34:00 | 2026-08-02 21:27:00 |       45 |        4220.88 |                  4220.88 |               39.40 |              31934 |          4220.88 |                    1
 Unidad de Salud Pereira 10     | Pereira       | Congelado          |        1 | 2026-02-04 19:22:00 | 2026-07-30 03:17:00 |       43 |        4207.92 |                  4207.92 |               40.60 |              33313 |          4207.92 |                    1
 Planta Pereira 4               | Pereira       | Congelado          |        1 | 2026-02-04 10:22:00 | 2026-07-29 15:31:00 |       39 |        4205.15 |                  4205.15 |               43.10 |              19575 |          4205.15 |                    1
 CEDI Medellín 16               | Medellín      | Congelado          |        1 | 2026-02-09 14:37:00 | 2026-08-03 12:03:00 |       51 |        4197.43 |                  4197.43 |               25.70 |              51569 |          4197.43 |                    1
 Unidad de Salud Santa Marta 24 | Santa Marta   | Congelado          |        1 | 2026-02-08 08:35:00 | 2026-07-30 21:15:00 |       37 |        4140.67 |                  4140.67 |               23.80 |              35383 |          4140.67 |                    1
(10 rows)


--- Todos los episodios de todas las clases ---
            almacen             |    ciudad     | clase_conservacion  | episodio |    fecha_inicio     |      fecha_fin      | lecturas | duracion_horas | ventana_exposicion_horas | desviacion_maxima_c | unidades_en_riesgo | horas_acumuladas | severidad_en_almacen 
--------------------------------+---------------+---------------------+----------+---------------------+---------------------+----------+----------------+--------------------------+---------------------+--------------------+------------------+----------------------
